start_time,stop_time,trial_type,trial_version,maze_id,success,target_on_time,go_cue_time,move_onset_time,rt,delay,num_targets,target_pos,num_barriers,barrier_pos,active_target,split
143.7,146.506,10,0,75,True,144.63899999999998,145.11999999999998,145.464,344,481,1,[[133 -81]],0,[],0,train
146.6,149.24599999999998,3,0,3,True,147.47899999999998,147.91,148.19899999999998,289,431,1,[[125 -64]],0,[],0,train
149.3,152.63600000000002,7,2,8,True,150.15900000000002,151.14100000000002,151.431,290,982,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
152.7,155.36599999999999,12,0,77,True,153.463,154.07799999999997,154.384,306,615,1,[[-77  82]],0,[],0,val
155.4,157.796,12,0,77,True,156.15,156.447,156.721,274,297,1,[[-77  82]],0,[],0,train
157.9,160.711,7,1,8,True,158.619,159.251,159.567,316,632,1,[[-92  81]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,val
160.8,163.086,10,0,75,True,161.559,161.774,162.032,258,215,1,[[133 -81]],0,[],0,val
163.1,166.131,10,1,75,True,163.91899999999998,164.684,164.98,296,765,1,[[133 -81]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  110   51    6]
 [ -76  -29   11   40]]",0,train
166.2,169.296,3,2,3,True,167.01899999999998,167.83399999999997,168.185,351,815,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",1,train
169.4,172.186,3,1,3,True,170.264,170.728,171.056,328,464,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
172.2,175.75099999999998,11,1,76,True,173.10299999999998,174.06799999999998,174.45,382,965,1,[[-118  -83]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
175.8,178.561,7,2,8,True,176.607,176.655,177.24800000000002,593,48,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,val
178.6,181.301,6,0,7,True,179.394,179.958,180.224,266,564,1,[[117  15]],0,[],0,train
181.4,184.321,2,0,2,True,182.1,182.899,183.18,281,799,1,[[104  80]],0,[],0,train
184.4,187.341,4,2,4,True,185.262,185.86,186.175,315,598,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train
187.4,190.23600000000002,2,1,2,True,188.184,188.84900000000002,189.132,283,665,1,[[104  80]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
190.3,193.651,12,1,77,True,191.196,192.127,192.44,313,931,1,[[-77  82]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
193.7,196.46599999999998,3,0,3,True,194.505,195.11999999999998,195.404,284,615,1,[[125 -64]],0,[],0,train
196.5,199.156,2,2,2,True,197.25,197.731,198.052,321,481,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",2,train
199.2,202.37599999999998,12,1,77,True,199.95,200.831,201.149,318,881,1,[[-77  82]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,val
202.4,205.086,2,2,2,True,203.08,203.594,203.954,360,514,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",2,train
205.1,208.216,7,1,8,True,206.027,206.692,207.037,345,665,1,[[-92  81]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
208.3,211.04600000000002,2,1,2,True,209.239,209.704,209.98100000000002,277,465,1,[[104  80]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,train
211.1,214.101,11,2,76,True,211.879,212.561,212.942,381,682,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",1,train
214.2,217.28099999999998,11,0,76,True,214.929,215.927,216.232,305,998,1,[[-118  -83]],0,[],0,train
217.3,219.816,8,0,10,True,218.04500000000002,218.459,218.80100000000002,342,414,1,[[-91 -70]],0,[],0,train
219.9,222.756,7,2,8,True,220.573,221.305,221.596,291,732,3,"[[-92  81]
 [-91 -70]
 [117  15]]",9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
222.8,225.14600000000002,2,0,2,True,223.592,223.857,224.132,275,265,1,[[104  80]],0,[],0,train
225.2,227.766,12,2,77,True,225.993,226.225,226.587,362,232,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",2,train
227.8,231.121,11,2,76,True,228.64200000000002,229.524,229.864,340,882,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",1,train
231.2,234.09099999999998,4,1,4,True,231.964,232.529,232.85999999999999,331,565,1,[[-100   35]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,train
234.2,237.40599999999998,12,2,77,True,234.93599999999998,235.917,236.2,283,981,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",2,train
237.5,240.411,2,2,2,True,238.174,239.072,239.313,241,898,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",2,val
240.5,243.361,7,0,8,True,241.169,242.017,242.297,280,848,1,[[-92  81]],0,[],0,train
243.4,245.451,2,0,2,True,244.153,244.167,244.443,276,14,1,[[104  80]],0,[],0,val
245.5,248.596,7,1,8,True,246.294,247.109,247.439,330,815,1,[[-92  81]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [-146  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
248.7,250.75099999999998,10,0,75,True,249.384,249.415,249.731,316,31,1,[[133 -81]],0,[],0,train
250.8,253.901,4,2,4,True,251.709,251.907,252.656,749,198,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128 -144   72    8]
 [ -69   -3   19   16]]",0,val
254.0,257.216,12,1,77,True,254.709,255.707,256.018,311,998,1,[[-77  82]],9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",0,train
257.3,260.241,11,2,76,True,258.11,258.491,259.09700000000004,606,381,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",1,train
260.3,263.546,12,2,77,True,260.979,261.627,261.94800000000004,321,648,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [ -82 -115    5   40]
 [ 175  107   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",2,train
263.6,266.67100000000005,12,0,77,True,264.523,265.35400000000004,265.642,288,831,1,[[-77  82]],0,[],0,train
266.7,269.356,8,1,10,True,267.521,267.88599999999997,268.246,360,365,1,[[-91 -70]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
269.4,272.536,6,1,7,True,270.342,270.97299999999996,271.36899999999997,396,631,1,[[117  15]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97  -33   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143   60   52    6]]",0,train
272.6,275.716,8,1,10,True,273.552,274.21700000000004,274.53000000000003,313,665,1,[[-91 -70]],9,"[[-119   48   72    8]
 [ -47   68    9   20]
 [ -36  -85   18   66]
 [-143   11   13   36]
 [ -97 -121   40    6]
 [ -59  121    8   29]
 [  75   24   11   55]
 [ 129  101   71   19]
 [ 143  -25   52    6]]",0,train
275.8,278.56600000000003,2,2,2,True,276.582,277.09700000000004,277.43,333,515,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [ 155  105    9   50]
 [  62  -20   19   42]
 [  75 -110   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",2,train
278.6,282.021,11,2,76,True,279.552,280.5,280.83700000000005,337,948,3,"[[ 133  -81]
 [-118  -83]
 [ -77   82]]",9,"[[ -33   47   37    6]
 [ -77   48   61   11]
 [ -64  -22    8   66]
 [-188 -115    5   40]
 [   0  104   11   46]
 [  86  -40   20   11]
 [  85  -96    6   59]
 [ 149  -18   51    6]
 [ -76  -29   11   40]]",1,val
282.1,284.466,4,0,4,True,282.963,283.161,283.427,266,198,1,[[-100   35]],0,[],0,train
284.5,287.376,3,2,3,True,285.41,285.892,286.242,350,482,3,"[[-100   35]
 [ 125  -64]
 [ 104   80]]",9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",1,val
287.4,290.736,3,1,3,True,288.323,289.238,289.54499999999996,307,915,1,[[125 -64]],9,"[[ 100   38   63   14]
 [-146   90   54   10]
 [  51  105    9   50]
 [  62  -20   19   42]
 [ 179    6   11   45]
 [ -55   35   11   39]
 [ -77   81   16   18]
 [-128  -31   72    8]
 [ -69   -3   19   16]]",0,val
290.8,293.666,11,0,76,True,291.612,292.361,292.66,299,749,1,[[-118  -83]],0,[],0,train
